date;URL;tag;description
2023-01-01;https://nypost.com/2023/01/01/illinois-high-court-halts-law-that-would-eliminate-cash-bail;law enforcement;Democrats in Illinois are not only trying to amend criminal law to allow anyone arrested for anything short of murder to roam free, but they are violating the state constitution to do so. The Illinois Supreme Court upheld a lower court ruling stating that the law abolishing most forms of cash bail unconstitutionally stripped power from the judiciary. Why are the Democrats so hell-bent on giving criminals license to act with impunity? 
2023-01-01;https://twitter.com/ggreenwald/status/1609619937491828737;authoritarianism;Despite Democrats’ insistence that Trump’s tax returns hid Russia collusion and self-enrichment, the documents show that he did not receive any suspicious funds from Russia and that he actually LOST money during his presidency. It turns out the Democrats are willing to spread any unsubstantiated slander against their opponents, which their loyal media lapdogs eagerly repeat without scrutinizing it one iota. This is just more proof that, unless the Democrats have hard data or evidentiary documents backing up their claims, they should be rejected immediately. Of course, the reputational damage has already been done, which is what the Democrats were counting on. They’ve figured out that the most effective form of character assassination and political hit jobbing is to make claims that take so long to investigate (even when there is appetite to do so immediately) that the public opinion the claims were meant to sway has served its usefulness. And these are the kind of people who think they deserve our trust?
2023-01-03;https://twitter.com/mtaibbi/status/1610372376792891395;authoritarianism;Congress and the intelligence community pressured Twitter to ban whatever accounts they wanted banned. In yet another Twitter Files report, internal Twitter documents show that in the year following the 2016 election, Democrats in congress piled on pressure to coerce Twitter into carrying out their desired censorship activities. This is further proof of the government’s unconstitutional behavior: in breach of First Amendment case law, the government used its power to coerce the private sector into silencing voices the government disliked. First Amendment protections apply even to foreigners on US soil. So even if the accounts in question were operated by Russians residing outside of the US, the fact that their content was hosted on US-based servers would seem to protect it under the First Amendment. Is this potentially inconvenient to US national security? Yes. But the law is the law, and erosion of that law leads down a dangerous path where the First Amendment holds no force to protect anyone. The Democrats, of course, are only too happy to skip merrily down that path, because then it opens the door to censoring the political right. They have proved this time and time again, as this document clearly proves. 
2023-01-04;https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.122.061025;COVID;A study published in the peer-reviewed journal of the American Heart Association shows a correlation between patients who developed myocarditis in connection with the mRNA COVID immune therapy and the presence of free-floating spike proteins, which the manufacturers assured us all would never happen. Medical professionals applying healthy, reason-based, scientific skepticism warned that spike proteins produced by means of the COVID “vaccines” might break off and circulate freely in the bloodstream. These same rational, well-credentialed experts further warned that, because the spike proteins are cytotoxic (i.e. damaging to cells), there may be adverse health effects associat4ed with free-floating spike proteins (and, by extension, the “vaccines”). Public health figures and the media denied all this, insisting that to even raise the question was to disseminate “disinformation”. Now here we are with studies that back up EXACTLY what these responsible skeptics of the mRNA COVID immune therapy had been forewarning. If public health officials, (Democrat) politicians, and (pro-Democrat) media had everyone’s best interests in mind, why did they silence these skeptics? If they simply believed that COVID was more dangerous than “vaccine” side-effects, why didn’t they just say so outright and provide the evidence to back it up? Why did they instead resort right to demonization and censorship? Is this the behavior of leaders and experts who are “just looking out for you”?
2023-01-04;https://twitter.com/CoriBush/status/1610726873792929792;authoritarianism;Democrats make racist remarks about black Republicans for daring to defy the Democratic Party. Cori Bush essentially said that Republican Byron Donalds, a black Republicans elected to the House, was an unthinking pawn of the Republicans with no agency of his own. How is this not racist, to suggest that a black man couldn’t possibly align with the Republicans of his own free will and critical faculties? It also implies that Republicans would never willingly support a black man for Speaker, which would have been a first in US history, another racist insinuation. Once again, the Democrats show themselves to be the real racist party in America. The Republicans are happy to include and platform black voices, and the Democrats deny the agency of every single one of those black voices. 
2023-01-05;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9813456/pdf/431_2022_Article_4786.pdf;COVID;Yet another peer reviewed scientific study has been published showing dangerous side effects for the COVID mRNA immune therapy shot: this one states that adolescents who receive a second dose experience serious cardiac symptoms, which progress into full-fledged cardiac conditions like myocarditis 0.1% of the time. This reveals one of two lies that were knowingly told to the public during an unprecedented crisis. The first possibility is that the government lied that the COVID “vaccines” were safe when the FDA reviewed the data and knew that there were serious side effects for children. The second possibility is that the government lied that they had thorough and transparent data from the drug companies and approved the shots anyway (but at least were telling the truth when they said they didn’t think there were side effects). And keep in mind that a 0.1% rate of myocarditis is still 1-in-1000 children getting a permanent damage to their hearts, which is not a small number of children considering the millions who were administered doses. So regardless, the government lied to Americans one way or another, and it resulted in children suffering permanent damage to their hearts when the rate of COVID deaths for children is hundreds of times smaller of a risk. Every official party to this lie who didn’t speak out should face prison time. 
2023-01-06;https://www.axios.com/2023/01/06/jan6-second-anniversary-speaker-vote;authoritarianism;Democrats are linking the January 6 Riot, which they equate to a treasonous coup, to duly-elected Republicans’ contentious vote for their Speaker of the House. How is this anything other than authoritarian? Imagine if Republicans connected a messy vote for a Democrat House Speaker to the Floyd Riots? The Democrats would throw a fit, and their outrage (though maybe not the childish temper tantrum-like manner in which they would express it) would be justified. And yet the Democrats freely liken Republicans voting for their leader as they see fit, as is their legal right, with what they (the Democrats) would like us to believe was an armed insurrection to end the republic. It’s ironic that the Democrats have anointed themselves as the guardians of democracy when no party has more contempt for democracy than the Democrats. They couldn’t stand Trump winning in 2016 fair and square, and made up an entire hoax about him colluding with Russia. And now the Democrats can’t even handle Republicans gaining control over one-half of one branch of government without insinuating that these Republicans are traitors. Likening your legitimately elected political opponents to traitors is the behavior of tyrants, pure and simple. 
2023-01-09;https://twitter.com/AlexBerenson/status/1612526697038897167, https://alexberenson.substack.com/p/from-the-twitter-files-pfizer-board;corruption;At the behest of a Pfizer board member, Twitter suppressed a tweet featuring scientifically accurate information that criticized the efficacy of the COVID mRNA immune therapy “vaccine”. The tweet, tweeted out by a doctor who formerly headed the FDA, made the scientifically factual statement that natural immunity was significantly more effective at combating COVID than the mRNA “vaccines”. But because this obviously threatens Pfizer’s COVID jab profits, Pfizer made sure to get subservient social media companies to suppress the actual scientific truth, ensuring that scared Americans continued to erroneously believe that the jab was their best bet against COVID. Pfizer and Twitter colluded to misinform Americans during a deadly global pandemic, all to increase their profits. Everyone responsible should be put on trial and imprisoned for the rest of their days. Interesting that Democrats, who collectively receive millions from the pharmaceutical industry, championed exactly the same kind of censorship that Pfizer did. 
2023-01-09;https://www.axios.com/2023/01/09/biden-classified-records-national-archives;corruption;Biden, who sent the FBI to raid Trump’s home for keeping classified documents after leaving office, was found to have improperly taken classified documents to a private office after stepping down as Vice President. On top of the obvious hypocrisy, there is a key difference here. Whereas when Trump retained sensitive materials he was president, meaning he is a classification origin and can thus can declassify any document at his discretion, Biden was Vice President—which is not a classification origin—at the time at which he retained classified materials past his term. This means that whereas Trump did not break the law, Biden definitely did. This is not defending Trump’s actions as being a good idea. They weren’t. But it was at least not illegal. Biden’s actions, on the other hand, were just as bad AND unequivocally illegal. But of course, because federal law enforcement skews left, there is no way there will be raids of Biden’s homes. Nor will Biden offer Trump anything in the way of an apology for his glaring hypocrisy. The talking points in the Democrat-bootlicking media will continue to be that what Trump did was worse, even though from a legal standpoint it’s not. How is this not yet another item of proof that the system is biased for the left? 
2023-01-09;https://twitter.com/ggreenwald/status/1612651092063490048;authoritarianism;In an irony clearly lost on this individual, a so-called journalist is calling Taibbi, who exposed government pressure on Twitter to censor dissenters, “authoritarian”. What is more authoritarian than coming to the defense of a government that coerced communications platforms into silencing peaceful critics of that government, in violation of that government’s own constitutional enshrinement of civil liberties? And it bears reminding that this government, in all the roles and offices responsible for this authoritarian political persecution and censorship, was controlled by Democrats or their sympathizers. Defending or siding with the authoritarians—in America, the left—makes you the authoritarian, not the people criticizing it. This is the warped world these people live in, though. They use the synchronized state and corporate power to silence and ostracize their foes, and then have the audacity to call those foes the authoritarians. This is the classic tactic of tyrants the world over: convince their people that their enemies are the “real” authoritarians. The media establishment is rife with these Goebbels wannabes. 
